Z,N,BE
62,69,1059.004
64,69,1059.212
47,84,1060.969
47,85,1062.468
48,80,1062.817792
58,70,1063.2864
53,73,1063.432944
51,75,1063.479564
49,78,1063.618523
50,76,1063.883898
54,72,1063.886166
56,71,1064.063785
59,70,1064.81502
52,74,1066.369248
48,81,1066.705386
57,71,1067.16032
55,72,1068.268374
60,70,1068.92669
49,79,1068.93952
61,70,1069.222
50,77,1069.410739
54,73,1071.132097
63,70,1071.448
65,70,1071.63
51,76,1071.85714
62,70,1071.972
58,71,1072.11126
53,74,1072.576849
52,75,1072.656986
64,70,1072.804
48,82,1072.83618
59,71,1074.28828
56,72,1074.69568
48,83,1075.008925
49,80,1075.70262
55,73,1076.031104
50,78,1077.373312
51,77,1077.8592
57,72,1077.930708
60,71,1078.169824
48,84,1078.176
61,71,1079.364
53,75,1079.403008
48,85,1079.827
54,74,1080.742144
49,81,1080.81948
