Z,A,BE
59,129,1064.81502
60,129,1056.51
61,129,1046.448
62,129,1034.967
47,130,1058.72
48,130,1073.28858
49,130,1080.82624
50,130,1090.29284
51,130,1091.66317
52,130,1095.94056
53,130,1094.73923
54,130,1096.9062
55,130,1093.14257
56,130,1092.72137
57,130,1086.30548
58,130,1083.31808
59,130,1074.28828
60,130,1068.92669
61,130,1057.03
62,130,1048.32
63,130,1033.89
48,131,1075.117
49,131,1087.144634
50,131,1095.539376
51,131,1099.430862
52,131,1101.869951
53,131,1103.322479
54,131,1103.510988
55,131,1102.373253
56,131,1100.214897
57,131,1096.518077
58,131,1091.681819
59,131,1085.462332
60,131,1078.170741
61,131,1069.353
62,131,1059.004
63,131,1047.345
48,132,1078.572
49,132,1089.498036
50,132,1102.85076
51,132,1105.187688
52,132,1109.91408
53,132,1109.64942
54,132,1112.447556
55,132,1109.540784
56,132,1110.037236
57,132,1104.560292
58,132,1102.511784
59,132,1094.468892
60,132,1089.89892
61,132,1079.364
62,132,1072.104
63,132,1058.64
49,133,1093.127
50,133,1105.32044
51,133,1112.528109
52,133,1115.747773
53,133,1117.907427
54,133,1118.882051
55,133,1118.527074
56,133,1117.227265
57,133,1114.385853
58,133,1110.532311
59,133,1105.264314
60,133,1098.876723
61,133,1091.169639
62,133,1082.088
63,133,1071.448
49,134,1095.182
50,134,1109.234982
51,134,1115.822556
52,134,1123.434024
53,134,1124.164592
54,134,1127.434326
55,134,1125.418564
56,134,1126.694914
57,134,1122.181392
58,134,1121.016396
59,134,1113.912118
60,134,1110.262092
61,134,1100.57215
62,134,1094.512
63,134,1082.05
64,134,1073.072
49,135,1098.495
50,135,1111.32
51,135,1119.435795
52,135,1126.77345
53,135,1131.95313
54,135,1133.798175
55,135,1134.18063
56,135,1133.666955
57,135,1131.684615
58,135,1128.876615
59,135,1124.40528
60,135,1118.90079
61,135,1111.882275
62,135,1103.97951
63,135,1094.58
64,135,1083.78
50,136,1115.064
51,136,1122.68
52,136,1131.442344
